id,target
0.00635,45.49388
0.01636,122.22901
0.01537,47.18310
0.02131,50.63405
0.01455,14.64991
0.00446,44.70736
0.00365,46.29321
0.01390,65.09364
0.00290,39.97552
0.02030,55.00627
0.01781,45.37404
0.01827,45.60246
0.01156,35.75993
0.01380,59.49992
0.02054,50.22454
0.00462,48.55028
0.02016,61.61159
0.01100,45.04008
0.01272,21.42658
0.01088,57.19839
0.01893,59.82758
0.00859,15.97874
0.00251,60.62381
0.01485,63.73728
0.01996,35.20502
0.00919,65.62634
0.01296,54.66462
0.00619,69.55503
0.00230,60.51161
0.00966,66.91390
0.02295,116.41466
0.01439,58.44427
0.01106,67.77823
0.00255,50.94912
0.01773,49.41225
0.01765,71.30074
0.00770,59.76888
0.02092,31.57040
0.01871,58.51849
0.00825,29.86924
0.02280,38.54262
0.01735,56.66562
0.00065,46.64237
0.00386,44.01301
0.01830,88.70329
0.01676,47.67945
0.00648,51.72437
0.01100,84.66368
0.02300,55.86518
0.00979,67.79773
0.00102,45.65497
0.01991,37.28473
0.01948,63.52547
0.00270,116.57250
0.00405,39.42337
0.01101,49.59088
0.00783,73.37249
0.00169,35.86348
0.01932,153.73163
0.01407,71.13126
0.00945,74.06937
0.01260,22.18419
0.00975,56.32213
0.01569,58.97063
0.00138,28.67449
0.00488,74.88282
0.00052,54.36931
0.01771,50.87989
0.00924,35.09899
0.02056,65.89919
0.00548,31.04889
0.01819,55.11210
0.02005,21.87037
0.00153,56.27756
0.00485,42.17893
0.00185,68.95933
0.00502,60.51954
0.00295,184.68477
0.00115,22.08899
0.01308,50.93662
0.02258,59.60815
0.00072,56.81997
0.00226,49.80202
0.02077,56.83329
0.01739,68.95741
0.00403,67.18305
0.01308,54.27973
0.02281,53.91563
0.00369,57.97164
0.00191,32.59502
0.01518,62.57397
0.00767,76.02643
0.00262,56.53680
0.00733,113.88454
0.00660,55.80491
0.00608,47.28704
0.00496,62.93580
0.01272,52.23448
0.01610,68.71755
0.00593,31.50386
0.01252,59.26932
0.01740,33.64889
0.01499,68.08628
0.01398,58.00184
0.00326,63.66677
0.00446,79.12483
0.01591,67.95065
0.01831,42.38686
0.01945,71.04205
0.01032,42.61121
