id,target
-1305254793.51339,55.26649
2007111520.86799,51.01470
2047934457.49081,46.07101
-2065423566.40886,39.17855
36917863.73231,66.20624
108217999.32029,39.58341
-1318269652.19774,53.18874
481465776.57964,39.02121
-1291136584.15014,50.84315
-1742294494.13534,38.01119
1951531719.18003,59.39877
-1832849491.19334,58.12003
-530516210.89694,78.91769
-1333970378.03497,47.83350
-1770259974.32997,39.66878
-1167870207.84455,65.99480
-136187822.47904,47.77068
-1163845311.74659,57.43580
1060156869.81870,42.65995
631181796.00477,49.92177
-384854290.82648,48.46756
-101134496.08383,29.22121
226442893.74067,35.29001
963860121.65842,60.50939
1441864762.62660,48.10524
1236044242.31239,43.52715
-496126472.57509,95.04578
2040273388.60720,61.92201
-91819336.14659,58.07882
-850171639.13194,36.47507
904084379.69757,52.48069
1798657733.88912,51.14775
-963557880.55333,38.32079
-1909862762.39896,55.51822
-1428216843.79636,58.57044
762302284.96457,52.44502
-1314743590.29558,54.49977
-742195110.44791,48.78448
-1944836941.55858,37.66061
-603262707.71148,58.58123
1036956468.92548,30.58821
660058616.11602,33.00428
-413505666.03179,42.29640
1290096876.73082,50.02002
-586505409.39740,52.86562
-2017865825.60253,40.77990
1889862726.70458,30.75380
967933539.80636,58.76567
-187748198.45211,41.70705
-1456196851.51546,86.42717
-613533148.83643,40.39349
-637735313.18086,50.74417
-1512675376.17621,53.17346
-1844507427.30221,54.40669
1414541665.27820,47.10125
642856475.93910,50.36490
1149095551.38936,58.61906
-931513808.16472,39.69622
781557281.66084,62.73197
-386378396.37488,56.13668
105436340.11368,55.69803
780147474.33555,63.24835
830243766.70304,48.44700
-1475324738.81130,54.16596
1387922573.12034,81.42080
-271576601.17286,55.05030
-2040599662.09535,68.04605
1291972309.04566,31.66503
1197353155.80723,46.83889
-1830777550.92543,36.29236
351607163.92432,69.96724
2135996698.29573,50.45478
-1247254184.35488,54.37129
916434638.32274,76.79460
-1342812420.10671,66.29576
2092069260.27286,43.13883
151883618.90131,70.04660
209461045.26967,37.70024
1053491087.61085,54.90275
-1805776382.56051,52.55853
-1974488911.15990,50.83011
-540305001.62149,37.42061
-1600939666.09175,55.39582
-497408183.62813,55.41741
1161407709.69581,57.47626
-2135177266.05527,51.70591
-1178483582.19190,58.10516
1427198223.92737,18.28864
480676229.07294,74.73053
1061074760.78766,49.45613
90763368.47361,54.05416
-740812971.89180,47.21685
455129198.70191,42.91698
251346946.59760,60.17139
-424950421.67868,56.04828
1409060300.05762,85.54451
358100124.18551,48.95083
1457554890.34648,69.27057
-514523226.37606,35.67393
-1983009266.07960,46.68604
-1974514014.79125,52.47917
1797498914.60355,42.39170
-694113805.37330,58.28748
2080300896.90382,51.08750
-1024536878.74007,73.08826
-974729978.62257,45.04461
749362307.38866,51.04313
-438038725.77708,64.51448
-1142289719.29343,93.47077
1104317948.60035,30.13233
497184389.25060,55.41573
-854042311.30514,115.93943
432041107.39064,43.40977
-1884429258.37343,33.98633
1711953534.31820,57.67020
-1938452745.67196,44.38000
-1953520062.49454,90.08268
273894953.43624,32.75582
-1227166598.61636,93.09812
1853131489.69350,36.44031
629805749.25519,50.26241
-1948423768.50101,29.16772
-809151356.33343,39.79050
-414654484.89203,63.48048
1564981618.90043,54.96317
889922783.41905,49.58421
1602497664.05492,65.57272
433485464.89117,44.32764
-1856952381.76384,39.23694
-100848344.63222,56.72085
-852208216.10449,39.89250
1241153407.96149,37.67382
657696456.09343,55.22996
-1688534025.46346,45.10587
1846507273.15929,23.42213
-2072557251.25176,63.88229
1559591921.41247,46.01087
-414920547.22953,38.64654
-426663327.72660,52.50400
753670414.74666,34.30524
1151600411.97182,44.99757
1077380638.91795,40.78208
517557326.92778,40.18743
2066145333.59094,44.54979
1928913050.13129,40.74348
1400862164.24516,51.66524
-1225570910.43055,62.03462
657939062.38588,41.32633
-1841203333.09228,57.34065
198433160.44510,39.67129
342530924.87551,43.52139
-799625364.44789,38.33786
903275969.08795,42.48656
330996109.27097,48.66358
-758104491.06339,46.78868
-951255144.15628,53.43696
1702424121.63565,50.03591
-1979288064.90521,55.05099
430702790.86646,50.60655
1155271238.10723,53.70387
