Type	Part Number	Brand	Model	Rank	Score	Samples	URL	Name	Codename	Cores	Socket	Process	Clock	Multi	Cache L1/L2/L3	TDP	Released	Price	
CPU		Intel	Core2 6300	864	12.9	1803	http://cpu.userbenchmark.com/SpeedTest/2521/IntelR-CoreTM2-CPU----------6300----186GHz												
CPU		Intel	Pentium D 3.00GHz	865	12.8	1365	http://cpu.userbenchmark.com/SpeedTest/3363/IntelR-PentiumR-D-CPU-300GHz												
CPU		Intel	2160	866	12.8	231	http://cpu.userbenchmark.com/SpeedTest/1800/Genuine-IntelR-CPU------------2160----180GHz	Pentium Dual-Core E2160	Allendale	2 	Intel Socket 775	65 nm	1800&nbsp;MHz	9.0x	64K / 1024K / 0K	65W	Jun 2007	7888	
CPU		Intel	Core2 4300	867	12.8	741	http://cpu.userbenchmark.com/SpeedTest/977/IntelR-CoreTM2-CPU----------4300----180GHz												
CPU		Intel	Celeron N2840	868	12.7	4679	http://cpu.userbenchmark.com/SpeedTest/16086/IntelR-CeleronR-CPU--N2840----216GHz	Celeron N2840	Bay Trail-M	2 	Intel BGA1170	22 nm	2160&nbsp;MHz	0.0x	56K / 512K / 0K	7W	May 2014	1880	
CPU		Intel	Core2 Duo T5670	869	12.6	215	http://cpu.userbenchmark.com/SpeedTest/3564/IntelR-CoreTM2-Duo-CPU-----T5670----180GHz											5800	
CPU		AMD	Athlon 64 X2 Dual Core TK-53	870	12.4	61	http://cpu.userbenchmark.com/SpeedTest/9182/AMD-Athlontm-64-X2-Dual-Core-Processor-TK-53												
CPU		Intel	Pentium Dual E2160	871	12.4	1270	http://cpu.userbenchmark.com/SpeedTest/2113/IntelR-PentiumR-Dual--CPU--E2160----180GHz	Pentium Dual-Core E2160	Allendale	2 	Intel Socket 775	65 nm	1800&nbsp;MHz	9.0x	64K / 1024K / 0K	65W	Jun 2007	3500	
CPU		Intel	Core2 Duo T7100	872	12.4	426	http://cpu.userbenchmark.com/SpeedTest/2268/IntelR-CoreTM2-Duo-CPU-----T7100----180GHz												
CPU		AMD	V140	873	12.3	172	http://cpu.userbenchmark.com/SpeedTest/1003/AMD-V140-Processor											15150	
CPU		AMD	V120	874	12.2	127	http://cpu.userbenchmark.com/SpeedTest/5365/AMD-V120-Processor											549	
CPU		Intel	Core2 T5600	875	12.2	357	http://cpu.userbenchmark.com/SpeedTest/6306/IntelR-CoreTM2-CPU---------T5600----183GHz												
