id,target
0.01469,50.78062
0.02219,54.12753
0.02198,54.36831
0.00314,70.72825
0.01658,42.51572
0.00891,64.63161
0.01705,46.56028
0.02305,49.98036
0.02301,51.10399
0.00887,60.78791
0.01454,71.55460
0.00641,44.20105
0.00444,50.75726
0.00165,135.20273
0.02181,32.28119
0.01887,192.24710
0.01722,44.59925
0.00272,168.88486
0.00342,24.83165
0.00722,35.56012
0.00820,6.83221
0.02207,27.17815
0.00798,41.94134
0.01314,43.82394
0.01451,35.46857
0.00209,85.69146
0.00109,35.41322
0.00102,30.91372
0.01199,37.70390
0.01131,46.44122
0.02087,41.16567
0.01730,71.07770
0.00909,39.04227
0.00508,15.48125
0.00527,64.41512
0.00406,49.09602
0.02224,27.88517
0.01745,55.53280
0.00938,23.40380
0.02213,32.40186
0.01915,30.71964
0.01636,31.44188
0.01156,43.96796
0.01344,41.87016
0.01276,60.49427
0.00222,66.10746
0.00840,29.84086
0.01875,61.23054
0.02312,33.32540
0.01357,29.08744
0.01997,25.51915
0.00164,30.83050
0.00901,51.26036
0.02264,40.89182
0.00392,60.16108
0.00679,47.53375
0.01664,46.33630
0.01678,52.24633
0.01098,43.83202
0.00108,32.26527
0.00276,52.56964
0.01397,38.35654
0.00147,76.28394
0.00242,45.49688
0.01589,43.43948
0.02010,30.53893
0.01575,32.25901
0.01713,60.73241
0.02194,27.29209
0.01629,46.37617
0.00743,15.89550
0.01337,40.17178
0.02079,90.25577
0.00671,26.11949
0.00008,45.94126
0.02021,42.49220
0.00434,74.84663
0.01527,34.17386
0.01854,26.30167
0.00747,69.87486
0.00848,59.13524
0.00338,53.07854
0.00689,38.87871
0.00999,34.65238
0.01103,47.62696
0.00373,46.49560
0.01322,49.96323
0.01667,84.43407
0.00153,32.40039
0.00977,65.50977
0.01697,25.61425
0.01559,49.04226
0.00564,68.91274
0.00785,51.20143
0.01261,53.34158
0.02152,54.60991
0.00817,160.05928
0.00355,36.87455
0.01542,72.01439
0.02206,128.88995
0.02091,56.13062
0.00609,51.31234
0.00817,56.75773
0.01893,151.40148
0.00698,135.99556
0.00346,30.44534
0.01006,43.28322
0.01299,63.79003
0.00756,78.89949
0.01590,77.45064
0.01576,63.83277
0.00279,61.87728
0.00154,57.56614
0.00506,42.46636
0.01635,63.29682
0.01473,21.15334
0.02014,47.07038
0.00372,101.09030
0.01632,52.67729
0.01667,75.60238
0.00758,32.53561
0.01561,202.28437
0.01446,51.12952
0.00713,18.65928
0.00783,72.32092
0.00739,202.29708
0.00346,60.50656
0.01635,90.55932
0.00575,164.31763
0.00232,66.42147
0.02168,42.36488
0.00798,52.97513
0.02066,36.04401
0.02031,46.26228
